x_med	x_mean	x_std	x_cfl11	x_cfl12	 x_cfl21	x_cfl22
14.135998	14.134846	0.046156	14.089353	14.180222	14.040591	14.222141
38.377485	38.448367	5.884373	32.644249	44.243429	27.072685	50.254565
-0.000022	-0.000022	0.000012	-0.000035	-0.000010	-0.000047	0.000002
