# wave	flux	error	model
# 
1.399177490234375000e+03 7.284985636924704716e-15 4.942368955197470100e-16 9.999999999956165064e-01
1.399207397460937500e+03 7.588641019284740608e-15 5.050608119153544937e-16 9.999999999956170615e-01
1.399237304687500000e+03 7.661722174940894386e-15 5.063585193301072852e-16 9.999999999956176167e-01
1.399267211914062500e+03 7.214572635052401983e-15 4.945019109531191993e-16 9.999999999956181718e-01
1.399297119140625000e+03 7.773173076074720717e-15 5.074337747170874161e-16 9.999999999956186159e-01
1.399327026367187500e+03 7.148869983399780415e-15 4.900454059198183082e-16 9.999999999956191710e-01
1.399356933593750000e+03 7.429002413781617131e-15 4.959430316337539845e-16 9.999999999956197261e-01
1.399386840820312500e+03 7.411163899912441566e-15 4.979697167787375083e-16 9.999999999956202812e-01
1.399416748046875000e+03 6.374070735337905927e-15 4.674059093056053688e-16 9.999999999956208363e-01
1.399446655273437500e+03 6.489321849789588675e-15 4.685333630979600459e-16 9.999999999956212804e-01
1.399476562500000000e+03 7.324970674232791218e-15 4.930714840634434996e-16 9.999999999956218355e-01
1.399506469726562500e+03 7.034202898165229506e-15 4.882054915397043577e-16 9.999999999956223906e-01
1.399536376953125000e+03 6.862682961510969959e-15 4.799760370615367960e-16 9.999999999956229457e-01
1.399566284179687500e+03 7.797496474188075205e-15 5.139933566793023281e-16 9.999999999956235008e-01
1.399596191406250000e+03 7.450876192611512183e-15 4.976427091215381449e-16 9.999999999956240559e-01
1.399626098632812500e+03 7.043346195314366051e-15 4.859739303006037001e-16 9.999999999956246111e-01
1.399656005859375000e+03 6.480564376147926464e-15 4.659405423068554292e-16 9.999999999956250551e-01
1.399685913085937500e+03 6.044056958208737090e-15 4.498668215832841988e-16 9.999999999956256103e-01
1.399715820312500000e+03 7.039167358269086960e-15 4.862869619141733674e-16 9.999999999956261654e-01
1.399745849609375000e+03 7.448328317506171248e-15 5.002235655722627947e-16 9.999999999956267205e-01
1.399775756835937500e+03 6.779805022786872942e-15 4.758228227629121478e-16 9.999999999956272756e-01
1.399805664062500000e+03 7.366031443383890681e-15 4.968431629588892888e-16 9.999999999956277197e-01
1.399835571289062500e+03 6.928990818204404725e-15 4.848439354094072600e-16 9.999999999956282748e-01
1.399865478515625000e+03 8.172364457522621889e-15 5.210950926673191957e-16 9.999999999956288299e-01
1.399895385742187500e+03 6.723362558830109012e-15 4.731845798300110192e-16 9.999999999956293850e-01
1.399925292968750000e+03 7.661840759553509989e-15 5.071639947233869215e-16 9.999999999961759478e-01
1.399955200195312500e+03 7.357318862488432948e-15 4.969752471591017563e-16 9.999999999967223996e-01
1.399985107421875000e+03 7.549907049639748707e-15 5.104161247848106042e-16 9.999999999972688514e-01
