x_med	x_mean	x_std	x_cfl11	x_cfl12	 x_cfl21	x_cfl22
14.312378	14.431980	0.612329	14.283297	14.342646	14.254782	17.491451
41.678109	40.382063	9.014047	36.567023	46.467496	1.800804	51.104079
0.347656	0.347655	0.000017	0.347639	0.347671	0.347616	0.347686
