# wave	flux	error	model
# 
1.395020019531250000e+03 1.008873224258422852e+00 6.719019263982772827e-02 9.999507731012338141e-01
1.395049926757812500e+03 9.954430460929870605e-01 6.654784828424453735e-02 9.999494664463046689e-01
1.395079833984375000e+03 9.829976558685302734e-01 6.576278805732727051e-02 9.999483043364113533e-01
1.395109741210937500e+03 9.306410551071166992e-01 6.474443525075912476e-02 9.999473105595119149e-01
1.395139648437500000e+03 1.002504944801330566e+00 6.674353033304214478e-02 9.999464797533419436e-01
1.395169555664062500e+03 1.042685747146606445e+00 6.784869730472564697e-02 9.999458779005321318e-01
1.395199462890625000e+03 1.021038174629211426e+00 6.756856292486190796e-02 9.999454991821480343e-01
1.395229370117187500e+03 1.081400990486145020e+00 6.934765726327896118e-02 9.999453844801325930e-01
1.395259277343750000e+03 1.105645179748535156e+00 7.035743445158004761e-02 9.999453290024522545e-01
1.395289184570312500e+03 1.054121494293212891e+00 6.842682510614395142e-02 9.999451068011745436e-01
1.395319091796875000e+03 1.122679948806762695e+00 7.073801010847091675e-02 9.999445490027475403e-01
1.395348999023437500e+03 1.068251490592956543e+00 6.961087137460708618e-02 9.999435703736991865e-01
1.395378906250000000e+03 1.015017628669738770e+00 6.765861064195632935e-02 9.999421816830632581e-01
1.395408813476562500e+03 1.030827283859252930e+00 6.806084513664245605e-02 9.999405339640481394e-01
1.395438720703125000e+03 1.045579791069030762e+00 6.828243285417556763e-02 9.999387943885130747e-01
1.395468627929687500e+03 8.722053170204162598e-01 6.245660409331321716e-02 9.999370262137571297e-01
1.395498535156250000e+03 9.901525974273681641e-01 6.615097075700759888e-02 9.999351623016030643e-01
1.395528442382812500e+03 1.023805141448974609e+00 6.749581545591354370e-02 9.999329305999371531e-01
1.395558349609375000e+03 9.564662575721740723e-01 6.509008258581161499e-02 9.999301410699314996e-01
1.395588256835937500e+03 9.971440434455871582e-01 6.676696240901947021e-02 9.999267053230984637e-01
1.395618164062500000e+03 1.010496616363525391e+00 6.676398217678070068e-02 9.999227279907142441e-01
1.395648071289062500e+03 1.055847883224487305e+00 6.918024271726608276e-02 9.999185443622481406e-01
1.395677978515625000e+03 9.202477931976318359e-01 6.407192349433898926e-02 9.999145890606223608e-01
1.395707885742187500e+03 1.069567203521728516e+00 6.910584867000579834e-02 9.999112420346200070e-01
1.395737792968750000e+03 9.739249348640441895e-01 6.581131368875503540e-02 9.999085430250984619e-01
1.395767700195312500e+03 1.026472091674804688e+00 6.751934438943862915e-02 9.999064806634069269e-01
1.395797729492187500e+03 9.467798471450805664e-01 6.491208076477050781e-02 9.999049193035716154e-01
1.395827636718750000e+03 1.044933557510375977e+00 6.850315630435943604e-02 9.999037689778650373e-01
